,year,month,RH......Smp.,SlrW_Avg..W.m.2...Avg.,SlrMJ_Tot..MJ.m.2...Tot.,WS_kph_..kilometers.hour...Avg.
1,2009,12,90.81743068,24.05202957,0.0865878,4.992170055
2,2010,1,89.9397712,24.92760027,0.08971467,4.099596231
3,2010,2,88.22241071,41.31369345,0.148111607,5.823157738
4,2010,3,80.01869624,93.19630511,0.335489247,6.709028226
5,2010,4,71.57344444,163.4069333,0.588247222,5.967690278
6,2010,5,73.08258065,173.1039395,0.623146505,5.327728495
7,2010,6,71.65666667,216.571775,0.779655556,5.008245833
8,2010,7,71.78205645,187.561453,0.675219086,5.785252688
9,2010,8,78.87349462,133.6882742,0.481270161,5.362004032
10,2010,9,82.39665278,104.7519069,0.377084722,4.481002778
11,2010,10,85.84186828,64.88243817,0.233533602,5.350168011
12,2010,11,88.56330556,30.76709861,0.110729167,5.488416667
13,2010,12,90.0821371,14.99946505,0.053946237,4.091067204
14,2011,1,88.31314516,22.46463306,0.080795699,6.511173387
15,2011,2,88.37815476,35.61892708,0.128183036,6.794522321
16,2011,3,81.54725806,91.05450538,0.327745968,5.205146505
17,2011,4,71.34090278,166.3614903,0.598881944,5.728923611
18,2011,5,70.23818548,193.9622245,0.698245968,6.577674731
19,2011,6,78.01688889,188.4971,0.678590278,6.114575
20,2011,7,75.81350806,185.9959987,0.669594086,5.324939516
21,2011,8,79.44873656,144.980293,0.521926075,4.370451613
22,2011,9,82.04608333,117.8649806,0.424305556,5.762008333
23,2011,10,83.39742934,78.56938762,0.282816958,4.931039031
24,2011,11,91.51593056,31.13044722,0.111473611,4.293980556
25,2011,12,83.82482527,23.3869086,0.084134409,6.618657258
26,2012,1,84.53305108,30.24363978,0.10880914,5.197571237
27,2012,2,81.98505747,55.61182615,0.199762931,5.046008621
28,2012,3,78.20579301,113.1554664,0.407348118,4.333358871
29,2012,4,78.83925,127.4774139,0.458931944,6.726622222
30,2012,5,76.83888441,166.9055672,0.600861559,6.076352151
31,2012,6,80.27406944,160.0192486,0.576065278,7.160375
32,2012,7,80.1190457,171.8213441,0.618547043,4.725598118
33,2012,8,79.87326613,157.9911425,0.568774194,4.795110215
34,2012,9,80.26381944,123.5130958,0.444630556,4.1469625
35,2012,10,88.79798387,57.19111962,0.205899194,4.829045699
36,2012,11,90.06843056,34.69685,0.1249,4.846005556
37,2012,12,88.98561828,21.28949731,0.076642473,6.051047043
38,2013,1,88.73380376,22.41052554,0.080676075,5.075708333
39,2013,2,78.26894345,46.16463244,0.165955357,5.894080357
40,2013,3,75.81520161,67.63200941,0.243475806,6.306780914
41,2013,4,69.89201389,147.6671528,0.531604167,7.647116667
42,2013,5,72.955,164.2834798,0.591412634,6.420041667
43,2013,6,73.89098611,179.7622667,0.6471375,6.284391667
44,2013,7,71.38966398,215.9528696,0.777427419,4.787696237
45,2013,8,75.99020161,165.3837688,0.595380376,4.597607527
46,2013,9,87.00695833,98.30247639,0.353886111,3.398847222
47,2013,10,93.64127688,55.86642876,0.201129032,6.285633065
48,2013,11,93.166375,34.327125,0.123575,4.926141667
49,2013,12,93.42560484,19.72364919,0.071008065,7.386423387
50,2014,1,95.03754032,26.79525,0.096465054,7.536698925
51,2014,2,85.74459821,53.28609821,0.190263393,10.25894792
52,2014,3,90.29701613,101.8691573,0.366047043,5.320733871
53,2014,4,90.11683841,139.4505246,0.497124902,5.105311475
54,2014,5,90.83090305,164.193575,0.590551129,5.345020584
55,2014,6,89.82507128,206.5764033,0.743686354,4.52846368
56,2014,7,88.23892473,208.2701546,0.749776882,4.439741935
57,2014,8,90.0584342,159.2374717,0.570355427,4.946710855
58,2014,9,97.69806944,108.5006722,0.390601389,2.738456944
59,2014,10,99.42699725,58.6774697,0.21122314,5.516804408
60,2014,11,98.21545833,30.38308472,0.108470833,4.130845833
61,2014,12,84.61165323,23.21747984,0.083579301,6.449725806
62,2015,1,82.6081586,28.70775806,0.103353495,6.680989247
63,2015,2,82.48733631,44.84049851,0.161418155,5.885529762
64,2015,3,74.98990591,90.65543414,0.326354839,6.683801075
65,2015,4,71.77133333,158.1103125,0.569191667,5.40425
66,2015,5,71.72104839,174.0948132,0.626745968,6.635053763
67,2015,6,68.97309722,198.0743014,0.7130875,5.893577778
68,2015,7,71.96452957,167.5785753,0.603274194,5.485442204
69,2015,8,79.31391129,127.7761384,0.459991935,4.986901882
70,2015,9,81.84501389,115.1297125,0.414463889,3.629926389
71,2015,10,87.42540323,57.41969355,0.20671371,3.726754032
72,2015,11,85.045875,23.33396111,0.083997222,6.900995833
73,2015,12,80.35553763,17.57844624,0.063282258,10.58338038
74,2016,1,85.04416667,25.28838172,0.091030914,6.435548387
75,2016,2,77.77567529,50.7650546,0.182734195,6.935793103
76,2016,3,79.35549731,85.12642473,0.30644086,6.552716398
77,2016,4,74.12555556,138.5852403,0.498902778,5.395413889
78,2016,5,74.68356183,175.4659288,0.631658602,6.037844086
79,2016,6,83.31513889,147.4530597,0.530826389,4.843066667
80,2016,7,76.58486559,176.4069691,0.635051075,4.772490591
81,2016,8,76.53983871,161.3400215,0.580810484,4.478143817
82,2016,9,83.45002778,92.93698194,0.334568056,4.413990278
83,2016,10,86.4127957,65.54407392,0.235965054,2.793064516
84,2016,11,87.85725,33.09926806,0.1191625,4.205126389
85,2016,12,92.28587366,20.01830645,0.072057796,3.201798387
86,2017,1,90.97901882,26.00897043,0.09363172,2.919600806
87,2017,2,87.79078869,38.96305655,0.140264881,6.336553571
88,2017,3,79.71918011,86.62053629,0.311834677,6.498172043
89,2017,4,71.95422222,142.6609139,0.511606944,4.452736111
90,2017,5,78.76896505,155.7250712,0.560611559,5.58199328
91,2017,6,74.9655,192.6886375,0.693655556,5.727872222
92,2017,7,76.59288978,169.8450054,0.611436828,5.176252688
93,2017,8,81.65108871,142.7359032,0.513852151,4.513701613
94,2017,9,86.45101389,100.5208875,0.361865278,4.601063889
95,2017,10,85.57823925,56.51930645,0.203451613,6.065865591
96,2017,11,87.14019444,32.6787625,0.117626389,4.863443056
97,2017,12,88.48606183,18.72237634,0.067379032,5.812795699
98,2018,1,85.65071237,22.87938978,0.082244624,6.549873656
99,2018,2,80.35264487,NA,NA,6.173744428
100,2018,3,83.80424084,63.90865838,0.230060209,6.234103403
101,2018,4,81.37168056,101.9601431,0.367043056,6.5658
102,2018,5,76.12938172,190.7166075,0.686576613,4.938282258
103,2018,6,73.68926287,209.8436537,0.751517385,5.268968011
104,2018,7,67.29635753,203.5521075,0.732780914,4.644887097
105,2018,8,76.40071237,140.3219691,0.505149194,4.363517473
106,2018,9,78.63776389,114.5220208,0.412275,5.45425
107,2018,10,85.22625,NA,NA,4.822319892
108,2018,11,90.1155,32.19316944,0.115897222,5.521976389
109,2018,12,89.98317204,19.6685793,0.070802419,5.050323925
110,2019,1,85.50733871,28.26156855,0.101731183,3.955041667
111,2019,2,87.26755952,63.18066667,0.22743006,5.903764881
112,2019,3,78.79998656,94.89701747,0.341612903,6.937798387
113,2019,4,76.38583333,146.2824319,0.526615278,4.841666667
114,2019,5,76.84711022,184.6488401,0.664739247,4.156594086
115,2019,6,80.34655556,187.9480875,0.676619444,5.700644444
116,2019,7,75.25564516,209.8776102,0.755551075,4.467797043
117,2019,8,78.38830645,178.0238683,0.640889785,5.678928763
118,2019,9,82.04190278,126.3386083,0.454822222,5.027679167
119,2019,10,89.92287634,59.10336425,0.212763441,5.157913978
120,2019,11,93.94533333,29.72975556,0.1070375,3.876747222
121,2019,12,90.71764785,23.21159005,0.083561828,5.761275538
122,2020,1,90.39727151,25.7191922,0.092591398,6.819178763
123,2020,2,81.83363506,48.37530316,0.174139368,9.522847701
124,2020,3,77.50850806,103.4430995,0.372391129,7.724170699
125,2020,4,71.929875,179.3054014,0.645493056,4.643868056
126,2020,5,66.56026882,255.0195108,0.918053763,4.940143817
127,2020,6,76.36373611,205.1835472,0.738645833,5.734861111
128,2020,7,75.81380376,201.9203495,0.726916667,5.402415323
129,2020,8,78.8728629,165.8572527,0.597134409,6.000504032
130,2020,9,81.23852778,131.2734722,0.472573611,4.873990278
131,2020,10,91.41776882,58.04813038,0.208975806,6.064454301
132,2020,11,92.33297222,33.27692222,0.119779167,5.308577778
133,2020,12,94.04634409,18.96761156,0.068282258,5.336014785
134,2021,1,93.40668011,22.82793683,0.082178763,5.431518817
135,2021,2,84.57842262,46.6139122,0.167797619,6.96311756
136,2021,3,81.16422043,90.31893548,0.325146505,6.458014785
137,2021,4,70.29920833,172.2060736,0.619933333,4.968258333
138,2021,5,79.89544355,170.2219382,0.612811828,6.335172043
139,2021,6,82.72626389,196.9248236,0.708926389,4.346988889
140,2021,7,84.60782258,203.6182782,0.73303629,4.334474462
141,2021,8,84.91944892,149.961957,0.539872312,4.853297043
142,2021,9,88.62948611,115.5782944,0.416075,3.565663889
143,2021,10,91.3030914,63.91326075,0.230071237,5.157571237
144,2021,11,90.79240278,31.59326111,0.113725,4.308109722
145,2021,12,92.20555108,16.61874866,0.059819892,5.304607527
146,2022,1,91.14442204,27.6575457,0.09956586,3.740119624
147,2022,2,82.18110119,52.83912054,0.190232143,7.806404762
148,2022,3,82.98166667,102.9837715,0.370737903,4.953403226
