"","year","month","Air_Temp_Max...Deg.C...Max.","Air_Temp_Min...Deg.C...Min.","Soil_Temp_2in...Deg.C...Smp.","Soil_Temp_4in...Deg.C...Smp."
"1",2009,12,3.91685,-2.88485,1.26605,1.66945
"2",2010,1,3.27703225806452,-2.14629032258064,0.919032258064516,1.13516129032258
"3",2010,2,5.54857142857143,0.0233928571428572,2.24435714285714,2.39414285714286
"4",2010,3,9.82490322580645,1.28551612903226,5.05193548387097,4.79206451612903
"5",2010,4,14.1483666666667,1.73596666666667,10.005,8.86886666666667
"6",2010,5,15.761935483871,3.69170967741936,13.378064516129,12.24
"7",2010,6,21.577,7.83633333333333,17.7646666666667,17.8236666666667
"8",2010,7,23.1887096774194,11.2519032258065,20.1974193548387,19.791935483871
"9",2010,8,20.1738709677419,10.2558064516129,17.4632258064516,16.7683870967742
"10",2010,9,18.2266666666667,7.6564,13.641,13.5066666666667
"11",2010,10,14.3316129032258,5.29251612903226,10.0505161290323,10.1295483870968
"12",2010,11,8.30436666666667,1.5968,5.89646666666667,6.06013333333333
"13",2010,12,2.30961290322581,-3.84929032258064,0.969129032258064,1.13164516129032
"14",2011,1,6.10125806451613,0.835387096774194,3.48532258064516,3.61564516129032
"15",2011,2,8.81364285714286,2.60439285714286,5.27839285714286,5.24875
"16",2011,3,10.7012903225806,0.552193548387097,5.57151612903226,5.50912903225807
"17",2011,4,18.1236666666667,4.7951,11.8676666666667,11.334
"18",2011,5,17.3467741935484,6.09132258064516,14.3606451612903,13.8193548387097
"19",2011,6,18.847,8.06076666666667,16.7046666666667,16.4626666666667
"20",2011,7,20.0712903225806,8.88325806451613,16.6238709677419,16.76
"21",2011,8,20.4306451612903,10.2645161290323,15.9509677419355,16.3087096774194
"22",2011,9,19.6026666666667,9.01276666666667,14.3473333333333,14.7456666666667
"23",2011,10,17.1793548387097,6.42858064516129,11.1449032258064,11.6105483870968
"24",2011,11,12.5331333333333,4.69566666666667,9.34466666666667,9.64183333333333
"25",2011,12,8.92722580645161,1.9938064516129,5.24783870967742,5.49848387096774
"26",2012,1,9.04087096774193,0.983903225806452,4.86632258064516,5.05874193548387
"27",2012,2,6.64320689655173,-0.898448275862069,3.19296551724138,3.306
"28",2012,3,14.0693548387097,1.12761290322581,6.54003225806452,6.79374193548387
"29",2012,4,11.7393333333333,2.4262,8.05666666666667,8.1208
"30",2012,5,17.018064516129,7.43048387096774,13.1916129032258,12.7509677419355
"31",2012,6,18.089,9.56236666666667,15.5603333333333,15.2586666666667
"32",2012,7,20.361935483871,11.1263548387097,16.6848387096774,16.4187096774194
"33",2012,8,22.2448387096774,11.2966451612903,18.1245161290323,17.7087096774194
"34",2012,9,18.952,6.5915,13.1796666666667,13.334
"35",2012,10,13.4634193548387,5.81683870967742,9.58493548387097,10.0405483870968
"36",2012,11,10.1568666666667,2.17516666666667,5.46096666666667,6.03633333333333
"37",2012,12,8.05932258064516,0.892774193548387,3.18383870967742,3.47390322580645
"38",2013,1,5.86112903225806,1.00590322580645,3.45141935483871,3.82641935483871
"39",2013,2,5.98482142857143,-3.35696428571429,1.8765,2.40228571428571
"40",2013,3,5.93951612903226,-0.368354838709677,2.58203225806452,2.91032258064516
"41",2013,4,12.1141,2.4299,7.66206666666666,6.90156666666667
"42",2013,5,14.9470967741935,4.93832258064516,12.551935483871,11.3441935483871
"43",2013,6,18.6896666666667,8.52963333333333,16.8463333333333,15.23
"44",2013,7,25.6141935483871,10.8691612903226,19.9032258064516,18.7196774193548
"45",2013,8,23.2958064516129,10.7837741935484,17.9545161290323,16.7506451612903
