Date,RHSilwood_mo,sw_ts_all,silw_fapar_forest_m
1986/1/1,NA,26.58681939,0.215109678
1986/2/1,NA,56.24898744,0.160695404
1986/3/1,NA,97.38857344,0.213069336
1986/4/1,NA,146.4869451,0.325772392
1986/5/1,NA,165.4961863,0.514833624
1986/6/1,NA,206.0726611,0.559384775
1986/7/1,NA,175.1846354,0.538543731
1986/8/1,NA,135.5770121,0.463304497
1986/9/1,NA,104.9034608,0.51387299
1986/10/1,NA,62.49001766,0.377663058
1986/11/1,NA,31.62232548,0.237293827
1986/12/1,NA,20.64870275,0.222144795
1987/1/1,88.85777921,25.95869901,0.176746
1987/2/1,85.76200112,46.94594828,0.20720878
1987/3/1,78.55482012,90.31758225,0.21286913
1987/4/1,75.36928227,146.3668175,0.313313955
1987/5/1,75.76751892,176.681957,0.486984876
1987/6/1,78.893255,168.1080894,0.592294555
1987/7/1,75.14591327,155.0395404,0.538543731
1987/8/1,79.33699446,149.3560807,0.479517574
1987/9/1,80.38382481,112.3012273,0.456859212
1987/10/1,84.19009258,65.39292582,0.390126106
1987/11/1,87.73911727,28.64238095,0.1237884
1987/12/1,87.49704893,15.54644864,0.222144795
1988/1/1,86.58027899,22.51469288,0.215109678
1988/2/1,78.68951743,63.58141898,0.217268996
1988/3/1,77.53288338,81.91817736,0.273513847
1988/4/1,74.83310217,136.5825304,0.330165806
1988/5/1,75.96947625,182.0774881,0.517564656
1988/6/1,77.38727616,166.9923841,0.574242353
1988/7/1,78.72857693,157.1179203,0.536440202
1988/8/1,76.20246915,144.7496111,0.498422322
1988/9/1,80.48107705,110.899145,0.42661423
1988/10/1,87.69388394,64.76219649,0.386170864
1988/11/1,88.32284957,36.52820515,0.265238359
1988/12/1,88.04163536,16.58910692,0.218067546
1989/1/1,86.68881398,24.44615552,0.215109678
1989/2/1,82.50175198,57.30219816,0.207430009
1989/3/1,80.3037033,87.27687975,0.24488623
1989/4/1,76.84501063,133.8186568,0.355380588
1989/5/1,65.72655753,225.0176465,0.496611183
1989/6/1,63.51312412,220.9538264,0.572639803
1989/7/1,67.14629802,202.05808,0.470335248
1989/8/1,69.25393741,168.4876876,0.466284771
1989/9/1,75.69998472,105.9520107,0.40858562
1989/10/1,82.68531468,60.47596065,0.185854605
1989/11/1,89.05157272,36.88255566,0.234075228
1989/12/1,90.13090941,14.26641417,0.222144795
1990/1/1,86.62335941,22.91865982,0.196487893
1990/2/1,78.77606455,51.72714857,0.206327517
1990/3/1,73.34080656,107.8652,0.242112302
1990/4/1,68.58390971,173.9850451,0.32254206
1990/5/1,65.54919658,213.102251,0.50576639
1990/6/1,70.30367647,164.1477798,0.544034912
1990/7/1,62.57904906,206.9996827,0.463571996
1990/8/1,67.58107169,172.8949286,0.435414175
1990/9/1,72.18614435,110.3721052,0.393406451
1990/10/1,80.35829369,67.53905746,0.390126106
1990/11/1,87.54588393,35.85586912,0.262507541
1990/12/1,85.12195248,19.36583044,0.222144795
1991/1/1,82.62558452,26.99850473,0.215109678
1991/2/1,89.85042061,48.54089697,0.121505538
1991/3/1,81.15071772,87.70498817,0.24488623
1991/4/1,71.0534798,156.8825397,0.325772392
1991/5/1,73.35073381,152.3367882,0.452227276
1991/6/1,74.01661092,163.3140546,0.625497591
1991/7/1,75.81537993,176.4613127,0.542100711
1991/8/1,74.55585792,164.2056913,0.466907705
1991/9/1,80.54023585,126.2801022,0.397399
1991/10/1,84.97792914,63.8251517,0.390126106
1991/11/1,86.61781517,30.60415131,0.262507541
1991/12/1,88.22215756,21.17454701,0.222144795
1992/1/1,86.06383543,27.15044578,0.191504812
1992/2/1,83.60153476,52.38192373,0.20720878
1992/3/1,80.90618518,84.61640767,0.246004327
1992/4/1,75.09016658,128.412829,0.23352147
1992/5/1,68.9404546,211.2413376,0.499186584
1992/6/1,74.95358654,203.8607386,0.538733429
1992/7/1,77.66490842,156.1898038,0.536440202
1992/8/1,79.4125942,137.8043058,0.47936765
1992/9/1,84.16801398,103.6630627,0.355547946
1992/10/1,81.07948535,64.39586689,0.386170864
1992/11/1,85.96190665,26.00161572,0.256957591
1992/12/1,88.14055928,19.72459803,0.218067546
1993/1/1,85.59399944,18.36688698,0.215109678
1993/2/1,83.42604299,53.52304087,0.20125036
1993/3/1,74.51210695,100.8131195,0.241326373
1993/4/1,80.80548186,135.1208721,0.302413822
1993/5/1,72.14733019,184.659626,0.525683058
1993/6/1,71.37609554,192.1184546,0.56806851
1993/7/1,74.53250267,169.2312821,0.53677368
1993/8/1,73.11091265,153.3256453,0.479517574
1993/9/1,84.59275588,93.28482465,0.405275987
1993/10/1,80.18274704,66.68655308,0.365192368
1993/11/1,88.30894042,34.90684239,0.243110384
1993/12/1,84.84418969,19.08438202,0.222144795
1994/1/1,86.70301622,25.32232345,0.215109678
1994/2/1,88.19782174,46.78619613,0.189615244
1994/3/1,78.36913907,91.99301088,0.240716822
1994/4/1,70.41044833,158.8896196,0.307410021
1994/5/1,75.83392317,159.8547119,0.490947272
1994/6/1,71.38391363,207.6154539,0.588202535
1994/7/1,73.80702058,206.0379759,0.523358142
1994/8/1,82.89298973,155.0761338,0.372545518
1994/9/1,87.55365329,101.8736391,0.456859212
1994/10/1,87.72415063,73.91535499,0.390126106
1994/11/1,91.85114443,25.60555958,0.262507541
1994/12/1,89.45631934,21.01134293,0.222144795
1995/1/1,84.6040805,22.14971014,0.215109678
1995/2/1,81.11145713,47.43787754,0.20720878
1995/3/1,72.32715201,114.2329429,0.267489927
1995/4/1,72.84016663,154.0533376,0.320889953
1995/5/1,66.0812819,194.6461838,0.503159453
1995/6/1,70.26778403,192.8196807,0.519718362
1995/7/1,71.48853942,203.3179156,0.478158755
1995/8/1,61.90547416,189.0269236,0.456597917
1995/9/1,81.16324609,107.5441634,0.423599805
1995/10/1,84.01625545,67.65978804,0.467739492
1995/11/1,86.76518056,35.24617591,0.303025501
1995/12/1,90.07110978,15.995805,0.222144795
1996/1/1,89.87582647,20.09894164,0.133498384
1996/2/1,84.82629598,59.09819855,0.20720878
1996/3/1,83.28795125,86.58439364,0.245293805
1996/4/1,71.33093258,139.1013436,0.282877087
1996/5/1,66.96689344,167.9873043,0.412156992
1996/6/1,66.6080641,218.7834947,0.552193827
1996/7/1,69.31267602,195.0541653,0.507222421
1996/8/1,75.02062357,157.7718878,0.488352132
1996/9/1,79.122415,106.5874523,0.4360121
1996/10/1,82.77101141,70.57617544,0.322800532
1996/11/1,85.57922461,37.29196822,0.254106969
1996/12/1,87.56512749,19.09771586,0.218067546
1997/1/1,90.55950894,21.79209509,0.221513169
1997/2/1,81.46510922,41.17304362,0.20720878
1997/3/1,79.71570314,95.99077742,0.280204777
1997/4/1,74.5268511,154.5141446,0.320867522
1997/5/1,85.23899252,206.8928507,0.482173353
1997/6/1,88.72573458,167.6519176,0.510308564
1997/7/1,91.71822422,192.2760737,0.518132748
1997/8/1,87.3031041,155.3718244,0.46700509
1997/9/1,90.67887335,123.351287,0.451816873
1997/10/1,91.18183781,75.0011218,0.369349116
1997/11/1,88.37728268,31.29975319,0.235841906
1997/12/1,88.37189224,17.65190719,0.222144795
1998/1/1,83.11990686,26.02258662,0.198327005
1998/2/1,85.53379433,60.73336733,0.214796017
1998/3/1,80.84966405,79.45754146,0.238119592
1998/4/1,82.39895527,134.0693449,0.325772392
1998/5/1,86.6574502,194.6515717,0.50264073
1998/6/1,79.34044544,167.9398007,0.572082777
1998/7/1,72.893171,157.3154844,0.556959894
1998/8/1,74.39797414,170.4694323,0.474631818
1998/9/1,83.35986758,104.991485,0.442048166
1998/10/1,84.08662234,58.14507672,0.387723411
1998/11/1,86.30123859,33.73787868,0.2508191
1998/12/1,86.18492766,17.8236596,0.222144795
1999/1/1,86.17389786,21.80779157,0.164065724
1999/2/1,80.514944,54.81826217,0.20720878
1999/3/1,80.19505273,89.79227616,0.252067514
1999/4/1,78.51435597,142.503158,0.280819649
1999/5/1,76.33724531,169.2138321,0.514833624
1999/6/1,93.65141562,190.2527714,0.56702392
1999/7/1,94.58981292,205.4255835,0.544997219
1999/8/1,92.78643086,142.4886059,0.493397187
1999/9/1,92.23393235,111.2125787,0.465650805
1999/10/1,93.95354093,69.81325914,0.384735521
1999/11/1,94.2284615,35.94945815,0.274648286
1999/12/1,91.69712641,19.71899196,0.222144795
2000/1/1,88.2657968,28.36419386,0.219861226
2000/2/1,84.82660033,56.1738332,0.235380994
2000/3/1,87.89938042,93.26034638,0.333955438
2000/4/1,87.23916745,134.6511198,0.313430878
2000/5/1,95.1772411,186.9369949,0.548022917
2000/6/1,96.31553984,180.0783733,0.563246492
2000/7/1,94.81976446,169.5849155,0.540032834
2000/8/1,96.24299227,161.7348096,0.462364698
2000/9/1,93.86619971,94.35022059,0.393608764
2000/10/1,95.70172857,56.8393957,0.370641131
2000/11/1,93.50910817,31.39375303,0.243144433
2000/12/1,93.23507742,18.27185004,0.218502483
2001/1/1,90.67705676,26.70508382,0.207137783
2001/2/1,88.46049051,52.8567852,0.174434077
2001/3/1,86.74372625,74.37860893,0.24488623
2001/4/1,92.39687366,136.1430514,0.334696419
2001/5/1,94.5096566,194.0090125,0.482530721
2001/6/1,83.51209746,207.322195,0.561277589
2001/7/1,90.64357513,181.0829393,0.569429244
2001/8/1,95.18196429,151.2679167,0.526452323
2001/9/1,92.83076379,99.07598397,0.526850511
2001/10/1,92.69843988,64.22449665,0.421589661
2001/11/1,89.74681008,34.97351385,0.255562394
2001/12/1,88.86810247,23.84626632,0.187319345
